Time,Open,High,Low,Close,Volume
2026-06-09 19:00:00,61121.5,61466.0,60752.6,61383.6,7478
2026-06-09 20:00:00,61386.3,61884.3,61386.3,61685.3,4937
2026-06-09 21:00:00,61687.2,61959.1,61590.6,61778.0,3475
2026-06-09 22:00:00,61776.7,62101.7,61709.6,62084.8,3087
2026-06-09 23:00:00,62086.9,62267.9,61942.4,62156.8,1674
2026-06-10 00:00:00,62156.8,62172.6,61685.8,61751.6,1449
2026-06-10 01:00:00,61755.3,61972.5,61653.8,61711.7,2039
2026-06-10 02:00:00,61712.15,61875.0,61540.7,61719.2,1943
2026-06-10 03:00:00,61725.05,61926.2,61429.75,61907.0,3078
2026-06-10 04:00:00,61911.8,61965.0,61569.1,61704.2,3387
2026-06-10 05:00:00,61707.9,61832.6,61224.3,61294.2,2981
2026-06-10 06:00:00,61292.8,61585.5,61272.9,61539.2,1956
2026-06-10 07:00:00,61539.2,61554.1,61180.1,61283.3,1753
2026-06-10 08:00:00,61289.4,61384.3,61064.3,61340.0,1875
2026-06-10 09:00:00,61344.55,61515.4,61125.9,61458.7,1794
2026-06-10 10:00:00,61450.5,61780.7,61423.0,61676.7,2016
2026-06-10 11:00:00,61677.0,61726.3,61150.0,61252.5,2728
2026-06-10 12:00:00,61254.4,61415.1,60735.4,61322.4,3337
2026-06-10 13:00:00,61326.3,61446.5,61137.2,61370.5,2262
2026-06-10 14:00:00,61372.3,61429.0,60851.5,61017.0,3863
2026-06-10 15:00:00,61017.9,61932.6,60943.8,61552.7,4560
2026-06-10 16:00:00,61554.5,62442.8,61432.8,62140.7,5501
2026-06-10 17:00:00,62135.3,62258.3,61800.4,62191.5,5762
2026-06-10 18:00:00,62201.5,62849.1,61834.9,62628.6,6278
2026-06-10 19:00:00,62630.4,62639.8,61914.6,62215.8,4785
2026-06-10 20:00:00,62214.0,62351.5,61638.8,61966.0,4769
2026-06-10 21:00:00,61966.5,62151.6,61598.05,61878.4,3434
2026-06-10 22:00:00,61880.2,62058.2,61664.8,61934.0,3400
2026-06-10 23:00:00,61920.75,61939.0,61673.1,61792.0,2286
2026-06-11 00:00:00,61792.0,61792.0,61162.3,61343.6,2322
2026-06-11 01:00:00,61349.75,61568.0,61084.0,61368.9,3338
2026-06-11 02:00:00,61368.9,61595.2,61151.4,61495.4,2390
2026-06-11 03:00:00,61501.6,61968.3,61501.6,61811.2,2931
2026-06-11 04:00:00,61812.65,62363.0,61812.65,62197.3,2533
2026-06-11 05:00:00,62198.2,62295.0,61929.8,62132.0,2234
2026-06-11 06:00:00,62132.0,62823.07,61998.6,62682.6,2186
2026-06-11 07:00:00,62684.3,62850.3,62533.8,62718.8,1777
2026-06-11 08:00:00,62717.85,62720.2,62548.9,62608.6,1410
2026-06-11 09:00:00,62612.0,62997.2,62536.7,62758.4,1729
2026-06-11 10:00:00,62757.4,62844.8,62595.5,62706.3,1337
2026-06-11 11:00:00,62704.3,63033.9,62703.8,62952.9,1214
2026-06-11 12:00:00,62949.25,62988.6,62781.4,62917.9,1018
2026-06-11 13:00:00,62914.4,63191.4,62794.7,63133.1,1416
2026-06-11 14:00:00,63131.8,63255.7,63027.0,63093.4,1513
2026-06-11 15:00:00,63095.8,63184.9,62500.0,62998.1,3617
2026-06-11 16:00:00,62996.8,63236.4,62666.2,63070.1,3713
2026-06-11 17:00:00,63071.5,63086.2,62722.0,62723.9,4192
2026-06-11 18:00:00,62727.6,62869.6,62532.8,62742.7,3730
